🕘️更新时间,#genre#
2026-09-26 00:16:59,http://xjj1.716888.xyz/fenlei/4k/4k.php

📺央视频道,#genre#
CCTV-11,https://live.264788.xyz/channel/cctv11?streamid=2fce646d8dbb72c508744df2e722b855&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-11,https://live.264788.xyz/channel/cctv11?streamid=7b9945eb3e3a3628d7a273fff55b8d1e&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-11,http://58.35.95.16:20009/rtp/233.18.204.77:5140
CCTV-11,http://101.81.76.108:4022/rtp/233.18.204.77:5140
CCTV-11,http://39.77.25.244:4002/rtp/239.253.254.169:8000$山东联通31
CCTV-11,http://106.111.244.12:58099/rtp/239.49.0.127:8000
CCTV-11,http://39.77.161.85:4002/rtp/239.253.254.169:8000$山东联通11
CCTV-11,http://60.4.29.46:8077/rtp/239.253.93.153:6321$河北联通11
CCTV-11,http://222.92.158.110:9889/rtp/239.49.0.127:8000
CCTV-11,http://183.222.15.202:4321/rtp/239.11.0.22:5140
CCTV-11,http://182.135.66.163:18888/rtp/239.94.0.36:5140
CCTV-11,http://182.135.66.163:1888/rtp/239.94.0.11:5140
CCTV-11,http://182.135.66.163:1888/rtp/239.94.0.36:5140
CCTV-11,http://183.236.43.98:4013/udp/239.77.1.238:5146$广东电信11
CCTV-11,http://182.135.66.163:18888/rtp/239.94.0.11:5140
CCTV-11,http://39.87.249.126:8090/udp/239.253.254.169:8000
CCTV-12,https://live.264788.xyz/channel/cctv12?streamid=0f34c587b2bea8f82b43463faa4b5708&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-12,https://live.264788.xyz/channel/cctv12?streamid=7274a33e11b479af1bb9e15efd258e4b&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-12,https://live.264788.xyz/channel/cctv12?streamid=ab6198438329e6431e97e89390793ea5&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-12,https://live.264788.xyz/channel/cctv12?streamid=2ffaa6964c764868df1ed3aa59a57a7d&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-12,http://222.92.158.110:9889/rtp/239.49.8.55:9822
CCTV-12,http://58.35.95.16:20009/rtp/233.18.204.78:5140
CCTV-12,http://39.77.161.85:4002/rtp/239.253.254.235:8000$山东联通11
CCTV-12,http://39.77.25.244:4002/rtp/239.253.254.235:8000$山东联通31
CCTV-12,http://106.111.244.12:58099/rtp/239.49.8.55:9822
CCTV-12,http://39.77.156.202:4002/rtp/239.253.254.235:8000$山东联通21
CCTV-12,http://60.4.29.46:8077/rtp/239.253.92.197:6062$河北联通11
CCTV-12,http://183.222.15.202:4321/rtp/239.11.0.113:5140
CCTV-12,http://183.236.43.98:4013/udp/239.77.0.136:5146$广东电信11
